       1    0.0000  +1.00000000  +0.00000000  -0.00000000  +0.00000000  +1.00000000  +0.00000000  +0.00000000  -0.00000000  +1.00000000  -0.00000000  -0.00000000  +0.00000000 
       2    0.7554  +0.99988574  -0.01317514  +0.00741210  +0.01306355  +0.99980354  +0.01490845  -0.00760707  -0.01480992  +0.99986142  +0.22004056  -1.43267107  +1.29210639 
       3    0.8318  +0.99971181  -0.00931211  +0.02212749  +0.00897299  +0.99984151  +0.01537600  -0.02226717  -0.01517302  +0.99963689  -0.99397725  -1.13017333  +2.21950364 
       4    0.8042  +0.99978763  -0.00972951  +0.01816674  +0.00966023  +0.99994576  +0.00389712  -0.01820367  -0.00372080  +0.99982738  -0.64223039  -0.48382998  +1.51760685 
       5    0.8131  +0.99993515  -0.00827267  +0.00782959  +0.00838130  +0.99986762  -0.01394549  -0.00771319  +0.01401021  +0.99987209  -0.18777010  +0.38742480  -0.18281767 
       6    0.9660  +0.99993700  -0.01068987  +0.00341726  +0.01069615  +0.99994111  -0.00182651  -0.00339754  +0.00186295  +0.99999249  +0.13040747  -0.57123291  +0.25816712 
       7    0.9430  +0.99975145  -0.01810073  +0.01301677  +0.01830860  +0.99970382  -0.01603125  -0.01272273  +0.01626558  +0.99978673  +0.02322716  +0.04858754  -0.18216750 
       8    0.9363  +0.99932653  -0.02541345  +0.02646907  +0.02557352  +0.99965656  -0.00572641  -0.02631445  +0.00639946  +0.99963325  -0.32292235  -0.89719331  +1.11641252 
       9    0.9234  +0.99940008  -0.02595000  +0.02293555  +0.02563256  +0.99957299  +0.01402798  -0.02328978  -0.01343167  +0.99963850  +0.00662602  -2.11695218  +2.33238173 
      10    0.9621  +0.99890357  -0.04139579  +0.02186408  +0.04115265  +0.99908721  +0.01145633  -0.02231836  -0.01054401  +0.99969530  +0.94745332  -2.62852311  +1.93512559 
      11    0.9494  +0.99936861  -0.01499973  +0.03220904  +0.01473018  +0.99985462  +0.00858968  -0.03233320  -0.00810981  +0.99944425  -0.88540226  -1.12987375  +2.09665513 
      12    1.0376  +0.99942946  -0.02495243  +0.02276137  +0.02436021  +0.99936676  +0.02593475  -0.02339409  -0.02536548  +0.99940449  +0.45438078  -2.55835295  +2.80631518 
