GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1538.4655,3700.982,4425.6993,0.0,0.0,0.0,-3345.2953,-27992.2436,4578.1805,15523.7854,-5249.1132,149.3850276,-1570.4262000000017,-5099.7281723999995,-6670.154372400001
1,1469.8971,3822.799,4435.1466,0.0,0.0,0.0,-3371.014,-27697.5271,4648.1696,15539.0021,-5451.3356,154.92344904,-1153.5266999999967,-5296.41215096,-6449.938850959997
2,1492.8798,3709.4456,4412.3112,0.0,0.0,0.0,-3326.8822,-27302.1615,4642.5008,15450.7878,-5802.6623,158.82000768,-921.1184999999969,-5643.84229232,-6564.9607923199965
3,1531.5391,3729.8519,4407.4026,0.0,0.0,0.0,-3334.2559,-27379.6349,4641.3117,15403.9624,-5722.9667,161.97134112,-999.8230999999978,-5560.99535888,-6560.818458879998
4,1549.1294,3722.3357,4444.6648,0.0,0.0,0.0,-3261.3158,-27756.3158,4674.6142,15504.6575,-5468.1444,162.0979704,-1122.2300000000014,-5306.0464296,-6428.276429600001
5,1561.374,3656.6106,4438.0581,0.0,0.0,0.0,-3305.0214,-27578.6725,4562.9561,15478.4071,-5605.8009,160.62471792,-1186.2880000000005,-5445.17618208,-6631.464182080001
6,1523.5536,3760.1453,4391.7139,0.0,0.0,0.0,-3336.3552,-27609.2357,4578.2418,15414.0845,-5483.3075,161.84881512,-1277.8518000000004,-5321.45868488,-6599.31048488
7,1516.0879,3704.1573,4444.0464,0.0,0.0,0.0,-3339.1452,-27223.6115,4617.3589,15308.5137,-5751.465,157.80560831999998,-972.5924999999988,-5593.65939168,-6566.251891679999
8,1507.76,3773.7156,4389.6988,0.0,0.0,0.0,-3329.6722,-27367.1734,4609.4445,15493.8975,-5789.2207,163.18490184,-922.3292000000001,-5626.03579816,-6548.36499816
9,1594.8259,3675.9506,4392.247,0.0,0.0,0.0,-3330.7322,-27435.5562,4550.9141,15554.02,-5802.904,165.17352096,-998.3307999999997,-5637.73047904,-6636.06127904
10,1522.7591,3726.7084,4357.2261,0.0,0.0,0.0,-3305.1032,-27454.5096,4648.4533,15515.2958,-5705.1318,162.44734391999998,-989.170100000003,-5542.68445608,-6531.854556080003
11,1450.1696,3626.9174,4407.3262,0.0,0.0,0.0,-3330.0309,-27719.0504,4675.877,15502.2344,-5442.9185,157.92806448,-1386.5567000000028,-5284.99043552,-6671.5471355200025
12,1542.5404,3690.7171,4424.6057,0.0,0.0,0.0,-3336.7409,-27654.636,4536.1787,15568.2687,-5613.8504,158.13109368,-1229.0662999999986,-5455.71930632,-6684.785606319999
