       1    0.0000  +1.00000000  -0.00000000  +0.00000000  +0.00000000  +1.00000000  -0.00000000  -0.00000000  +0.00000000  +1.00000000  +0.00000000  -0.00000000  +0.00000000 
       2    0.6406  +0.99999225  +0.00289984  -0.00265398  -0.00287647  +0.99995744  +0.00876695  +0.00267929  -0.00875925  +0.99995804  +0.11645395  -0.45589909  +0.31419742 
       3    0.7648  +0.99995577  -0.00535243  -0.00773079  +0.00543156  +0.99993271  +0.01025145  +0.00767540  -0.01029299  +0.99991757  +0.58583140  -0.68891126  -0.06842964 
       4    0.7974  +0.99997884  +0.00123606  +0.00638344  -0.00129784  +0.99995226  +0.00968235  -0.00637117  -0.00969043  +0.99993277  -0.24772705  -0.32001245  +0.06031152 
       5    0.7726  +0.99999630  +0.00246234  +0.00116181  -0.00249192  +0.99965382  +0.02619227  -0.00109691  -0.02619507  +0.99965626  -0.28015989  -1.22427201  +0.36988166 
       6    0.7302  +0.99996591  -0.00103521  +0.00819033  +0.00086140  +0.99977499  +0.02119548  -0.00821043  -0.02118771  +0.99974179  -0.31843022  -1.00519824  +0.43252715 
       7    0.9368  +0.99962401  -0.01651609  +0.02188801  +0.01594471  +0.99953407  +0.02602693  -0.02230768  -0.02566814  +0.99942160  -0.29099733  -2.11034250  +1.12699032 
       8    0.9537  +0.99994415  +0.00138529  +0.01047604  -0.00168744  +0.99958122  +0.02888766  -0.01043163  -0.02890372  +0.99952775  -0.65519345  -1.52983725  +0.76292717 
       9    1.1202  +0.99997520  -0.00657756  +0.00251323  +0.00649800  +0.99951518  +0.03045057  -0.00271230  -0.03043349  +0.99953312  +0.09873535  -1.70331550  +0.49166608 
      10    0.9975  +0.99996996  +0.00399239  +0.00664018  -0.00415090  +0.99970257  +0.02403147  -0.00654226  -0.02405831  +0.99968916  -0.19537665  -0.82471430  +0.04981329 
      11    1.1224  +0.99984902  -0.01709473  +0.00312005  +0.01704736  +0.99974769  +0.01462456  -0.00336927  -0.01456916  +0.99988818  +0.97368503  -1.38929820  -0.71988535 
